"","var_name","coe1_est","coe2_est","coe3_est","coe4_est","coe5_est","coe6_est","coe7_est"
"1","temp5Avg",0.139679832150362,0.208588786155193,0.249472142945418,0.267327030298319,0.271446051203254,NA,NA
"2","temp30Avg",NA,NA,NA,NA,NA,0.100732279405443,0.097438943968198
"3","sunlightTimeSum",0.0311895021444035,0.0325321461450597,0.0162153096265816,0.0121743620786667,0.00751376453422696,NA,NA
"4","windMaxInstantDir",-0.00881525010343414,-0.0230739482877608,-0.037247040977184,-0.0412612839305733,-0.0427997566398972,-0.0379152362850535,-0.0376252827003246
"5","windMaxDir",NA,NA,0.0134857240901953,0.0164740404448632,0.0172471515525791,0.016482410794288,0.0142349366272371
"6","VPAvg",NA,0.14134517997082,0.156638622972685,0.168490886759178,0.170339621108637,0.241417735633156,0.249635921851661
"7","seaAPAvg",NA,-0.0245230328561451,-0.0379266586122746,-0.0521028493229549,-0.0609879494262647,-0.0783988695166006,-0.0840589215664118
"8","LocalAPAvg",-0.00180272109665926,0.00683321353516131,0.0146254002311466,0.0186321065137657,0.0207072189663425,0.0238694052596993,0.0247461313371656
"9","tempHigh",0.80854930411048,0.593579980494459,0.536753591973355,0.499098326879803,0.487152745522788,0.604244351047145,0.593034683710437
"10","RHAvg",NA,-0.0192787775309484,-0.0316816876619569,-0.0400372853836674,-0.0436350755145433,-0.0645024816612214,-0.0701194181592963
"11","windAvg",NA,NA,0.027557121421077,0.0374067488601858,0.0418172219301613,0.0485934315444737,0.0504455433707252
"12","RHMin",0.0371712908516379,NA,NA,NA,NA,NA,NA
"13","windMax",-0.0316256834069795,NA,NA,NA,NA,NA,NA
